texto,fecha,usuario
@chrisdaes @juniorclubsa @sebavierareal @tecnoglasssa @funtecnoglass #avisenlealrestoquesisepuede mi número es el #717,2021-10-18 23:59:59 UTC,Jnnfr12
de las 9 a las 4? da estiramela un poco maaas ndt,2021-10-18 23:59:59 UTC,Flory_Espinosa
rt @pienso1ro: los hospitales universitarios venezolanos y el hijodefrutas de zapatero tiene una mina de oro manchada de sangre venezolana. https://t.co/t0yfhacbkq,2021-10-18 23:59:59 UTC,anngysil
"rt @gemelamer: @silvioaquinog justamente es eso,todos estamos unidos en contra contra de las arbitrariedades, abusos y falta de transparencia de este gobierno, y eso hijo, se llama democracia: podemos pensar diferente, y saber convivir",2021-10-18 23:59:59 UTC,NorteSur7
@bonaisdecloro_ hazla bien😡,2021-10-18 23:59:59 UTC,isalovaglio
tw:nsfw este igual :0 p o g https://t.co/ms8319bst2,2021-10-18 23:59:59 UTC,perron2645
acabo de entrar a unos jeans de mis faves…. a fuerza pero entré,2021-10-18 23:59:59 UTC,PoloCocone
"rt @lagari09: bueno mi gente hago traspaso de un apartamentito hermoso en palermo, cerquita de los mejores barcitos de montevideo asique hablenme si quieren, o si conocen a alguien que quiera. arriba que me voy a vivir a la blanqueada viejisssss",2021-10-18 23:59:59 UTC,sofibenitez2906
rt @hamaxx1: esto se arregla con 10 boinas verde.,2021-10-18 23:59:59 UTC,MariaOrihuela13
keaton y no hay más! https://t.co/bcn4jegey8 https://t.co/gahfruevuu,2021-10-18 23:59:59 UTC,BarbieDeLarge
@ponchogutz q pendejo tu tuit….. no es obligatorio decir pendejafas,2021-10-18 23:59:59 UTC,jnamee0412
rt @thmora1: @edwinortegas @brunosegovia @defensaec @armada_ecuador con el nuevo ministro puedes solucionar es de justicia 💪💪,2021-10-18 23:59:59 UTC,GEORGEFELINO
"@lilys990097 no seas así, volve, que te extraño🙄",2021-10-18 23:59:59 UTC,GiseKolbas
"rt @ciudad_magazine: se re picó 
la fuerte respuesta de wanda nara a alejandra maglietti, que la cuestionó en twitter por no dar nombres y exponer -sin decirlo- a la china suárez https://t.co/xtc7c8cprt",2021-10-18 23:59:59 UTC,maauro_93
rt @hernanea: y….. siguen apareciendo ex funcionarios  y vinculados a cambiemos en pandorapapers. ahora entendes x q @alfonsopratgay lo primero q hizo fue levantar el cepo? sin importarle q aumentara la inflacion?,2021-10-18 23:59:59 UTC,MarkFra29462604
"@willaxtv otro ladrón, ahiiií caray, este gobierno pareciera hacer chiste pero es cierto, cada nombramiento busca a un típico ladron, el adn de estos impresentables los junta por afinidad. #vacanciapedrocastillo 
#vacanciapedrocastillo
#vacanciapedrocastillo
#vacanciapedrocastilloya",2021-10-18 23:59:59 UTC,R_nanez
el futura del amigo ramon ✅ https://t.co/vaqasb9qsc,2021-10-18 23:59:59 UTC,FORDsoloFORD
"mas van contra @petrogustavo  quiere decir que vamos por él camino correcto.
yo voto petro https://t.co/rxpbqfn8nx",2021-10-18 23:59:59 UTC,MAMADOSEURIBE1
"rt @jbedoyalima: el 18 de octubre de 2021 pasa a la historia como el día en que una lucha, que empezó por un crimen individual, llevó a la reivindicación de derechos de miles de mujeres víctimas de violencia sexual y de mujeres periodistas que dejan parte de la vida en su oficio #noeshoradecallar",2021-10-18 23:59:59 UTC,Amanecer1946
rt @isnardobravo: para que las bragas anaranjadas se multipliquen y los emprendedores de dulce de lechosa vendan mucho. roguemos al señor.,2021-10-18 23:59:59 UTC,Soulprovi99
@shinchemicalero noo hermana encima tenes educacion fisica deci q yo m salve de esa materia del orto t mando fuerzas 🙏🙏,2021-10-18 23:59:59 UTC,noteeww
"#tepexigobiernoprogresista
el trabajo unido y organizado que se ha realizado en tepexi es una muestra del desarrollo que se puede lograr  para el bienestar de todos.",2021-10-18 23:59:59 UTC,VaniaMejiaL
que hueva rogar por una amistad.,2021-10-18 23:59:59 UTC,Andree_Rossim
"@castrusho cb esta mierda me tiene mal!! estoy 3
dias full limpiando y con la roomba a diario",2021-10-18 23:59:59 UTC,heliamrocky
@vimi0428 cuando quieras mibida grrr https://t.co/lwrooephmv,2021-10-18 23:59:59 UTC,Mitchell_OwO
quiero conocer todas tus capas.,2021-10-18 23:59:59 UTC,shimibuitrago
"rt @silviabufanda: por eso hay que invertir en educacion chiquis, para no sacar esta clase de noticias. la salud y la educacion no son gasto, son inversiones y la tasa de inversión de ambas son las mas bajas de la region. https://t.co/1qvxjsokgp",2021-10-18 23:59:59 UTC,patyaadorno_
